studentID,firstname,lastname,status,status_date,phone_number,email
1,Melissa,Fletcher,S,2023-05-25,535-639-6639,austinbrandon@gmail.com
2,George,Guerrero,AP,2023-10-03,754-235-9070,coreyhansen@thomas.com
3,David,Estrada,AP,2022-07-26,061-128-8020,callahanjulie@hotmail.com
4,James,Moore,E,2023-04-18,826-119-4052,hutchinsonjeffrey@gmail.com
5,Erica,Price,A,2021-11-19,482-895-0793,nicolewarner@young.com
6,Matthew,Mendez,S,2025-04-02,322-905-4543,imedina@gmail.com
7,Melissa,Jones,S,2024-07-24,185-368-7349,jasongarcia@yahoo.com
8,Heidi,Fields,E,2024-02-20,277-206-8460,escobarthomas@hotmail.com
9,Shawn,Johnson,E,2022-06-01,297-286-3210,piercedavid@gmail.com
10,Stephen,Daniels,A,2020-11-27,662-855-2881,cameronfranco@aguirre-glenn.org
11,Valerie,Wiley,S,2023-03-18,040-300-7850,josephsimmons@ramos.com
12,Alexis,Hall,E,2024-05-26,930-822-3272,harrisandrew@campbell-smith.com
13,Marilyn,Pope,E,2023-05-17,080-720-7148,lucas10@davis-vance.com
14,William,Knight,E,2022-12-01,588-583-9442,katherinepatel@morris.com
15,Marvin,Soto,A,2022-02-06,015-487-8741,thomasandrew@gmail.com
16,John,Martinez,AP,2023-12-15,479-677-1962,iharris@sullivan.com
17,Christina,Hall,E,2023-10-13,257-739-1942,michael42@robertson-stevens.net
18,Lindsay,Smith,A,2024-04-30,097-224-8528,lori85@hotmail.com
19,Paul,Delgado,E,2023-12-27,856-188-0250,scott04@hotmail.com
20,Ashley,White,S,2021-09-25,319-873-5591,luketucker@yahoo.com
21,Katherine,Lawrence,A,2020-05-07,121-301-5188,vchristensen@cooper-garcia.com
22,Elizabeth,Mcgee,AP,2021-12-18,221-376-3072,perrycraig@peterson.com
23,Kenneth,Rojas,S,2024-12-22,384-786-9545,christophermatthews@booth.biz
24,Michael,Bailey,A,2022-02-08,977-312-1994,melanie23@hunt-mccann.biz
25,Gary,Schwartz,E,2020-09-07,125-782-2863,twalker@hotmail.com
26,Brandon,Williams,E,2023-12-22,597-924-5439,dana57@woodard.biz
27,Jorge,Phelps,E,2021-03-26,510-015-3601,rollinstammy@wolf.net
28,Rebekah,Frank,A,2021-06-22,328-006-2656,owebb@gmail.com
29,Thomas,Reid,S,2023-02-24,185-033-1127,pattersoncaleb@giles.com
30,Michael,Clark,S,2022-01-02,059-388-0018,steven35@yahoo.com
31,Candice,Boyd,S,2023-02-13,242-372-1868,grahamsharon@larsen-brown.com
32,Robert,Carr,E,2021-05-31,770-648-9142,oweber@hotmail.com
33,Ashley,Blair,A,2024-12-09,439-640-7072,sandersstephanie@yahoo.com
34,Joseph,Garcia,S,2020-07-22,464-991-3496,clarkomar@perry.net
35,Jason,Clark,E,2020-10-30,439-757-7180,johnwang@yahoo.com
36,Sandra,Fletcher,S,2020-08-20,330-666-4904,ndelgado@hays.com
37,Ricky,Roberts,E,2022-12-25,928-002-0576,nicholeharris@gmail.com
38,Willie,Lloyd,A,2022-10-06,038-548-3105,jonathononeal@yahoo.com
39,Mary,Carroll,E,2023-04-26,742-186-5311,yrodriguez@mccormick.com
40,Catherine,Hodges,E,2021-03-12,273-342-8298,zjackson@yahoo.com
41,Jason,Lutz,E,2022-03-15,224-000-6529,qgraham@gmail.com
42,Kelly,Watkins,A,2024-11-19,555-220-0191,cathyscott@hotmail.com
43,Amy,Williams,AP,2024-11-22,527-805-7945,shaun26@gmail.com
44,Joe,Berry,S,2023-08-17,988-107-0697,fowlerdonna@yahoo.com
45,Patricia,Ross,AP,2023-05-01,121-061-5744,karenhall@vincent.com
46,Laurie,Woodward,AP,2024-12-02,083-002-7467,jeremiah73@macias.com
47,Shawn,Flores,E,2022-06-19,842-049-4615,stevenoconnor@riddle.com
48,Christopher,Burgess,E,2021-02-09,975-998-0565,dfoster@jones-johnson.net
49,David,Schmidt,S,2021-05-20,834-286-8110,katelynwheeler@gmail.com
50,Joseph,Lamb,AP,2023-06-17,340-649-4138,david46@yahoo.com
51,Bonnie,Gonzalez,S,2020-12-05,244-236-4411,christopher91@whitehead.com
52,Travis,Hansen,AP,2021-06-01,486-823-1383,hawkinscory@martinez.com
53,Jeffrey,Galloway,A,2025-01-07,363-689-4476,reneepeterson@hotmail.com
54,Emily,Ali,A,2024-10-13,599-263-7630,murphyeric@woods-cruz.biz
55,Robert,Howard,A,2022-01-11,350-441-3514,cowens@campbell.biz
56,John,Smith,S,2022-09-17,167-354-8294,garciabrenda@hotmail.com
57,Austin,Rodgers,E,2022-07-27,709-857-0963,rkaufman@walker-goodwin.com
58,Michelle,Peterson,E,2020-08-19,479-141-5309,qrichard@hotmail.com
59,Daniel,Webb,E,2022-03-19,344-215-6007,sandovallawrence@gmail.com
60,Frank,Lawson,AP,2024-12-11,306-499-9686,daviskenneth@carlson.net
61,Michael,Curtis,S,2025-03-16,985-749-6671,ronald40@cain.com
62,Megan,Richardson,A,2022-09-11,090-352-3665,pchan@ramirez-johnson.net
63,Juan,Vega,S,2020-08-20,812-755-2273,dunnmarie@yahoo.com
64,Megan,Allison,A,2021-07-03,043-611-4712,julia42@yahoo.com
65,Joshua,Bass,AP,2020-07-30,217-092-4814,michaelmartin@bass-chang.info
66,Tracy,Greene,S,2024-03-23,737-742-2896,zbrown@alvarez.com
67,Kelly,Fuller,A,2024-08-18,896-327-0401,nserrano@yahoo.com
68,Frederick,Hernandez,AP,2023-04-07,641-140-4655,ryan86@gmail.com
